"f" "voor" "ref" "hyp"
"1" "aceabc_result.TextGrid" 1 "tere" "tere"
"2" "aceabc_result.TextGrid" 1 "lillad" "lillad"
"3" "aceabc_result.TextGrid" 1 "agendid" "agendid"
"4" "aceabc_result.TextGrid" 1 "meil" "meil"
"5" "aceabc_result.TextGrid" 1 "on" "on"
"6" "aceabc_result.TextGrid" 1 "teile" "teile"
"7" "aceabc_result.TextGrid" 1 "suuri" "suuri"
"8" "aceabc_result.TextGrid" 1 "suuri" "suuri"
"9" "aceabc_result.TextGrid" 1 "uudiseid" "uudiseid"
"10" "aceabc_result.TextGrid" 1 "ehk" "ehk"
"11" "aceabc_result.TextGrid" 1 "siis" "siis"
"12" "aceabc_result.TextGrid" 1 "otsustasime" "otsustasime"
"13" "aceabc_result.TextGrid" 1 "et" "et"
"14" "aceabc_result.TextGrid" 1 "oleme" "oleme"
"15" "aceabc_result.TextGrid" 1 "ka" "ka"
"16" "aceabc_result.TextGrid" 1 "lõpuks" "lõpuks"
"17" "aceabc_result.TextGrid" 1 "one" "####"
"18" "aceabc_result.TextGrid" 1 "of" "####"
"19" "aceabc_result.TextGrid" 1 "the" "####"
"20" "aceabc_result.TextGrid" 1 "cool" "####"
"21" "aceabc_result.TextGrid" 1 "kids" "punavel"
"22" "aceabc_result.TextGrid" 1 "ja" "ja"
"23" "aceabc_result.TextGrid" 1 "meil" "meil"
"24" "aceabc_result.TextGrid" 1 "on" "on"
"25" "aceabc_result.TextGrid" 1 "nüüd" "nüüd"
"26" "aceabc_result.TextGrid" 1 "patreon" "####"
"27" "aceabc_result.TextGrid" 1 "on" "patrioot"
"28" "aceabc_result.TextGrid" 2 "hästi" "hästi"
"29" "aceabc_result.TextGrid" 2 "palju" "palju"
"30" "aceabc_result.TextGrid" 2 "erinevaid" "erinevaid"
"31" "aceabc_result.TextGrid" 2 "tasemeid" "tasemeid"
"32" "aceabc_result.TextGrid" 2 "kõik" "kõik"
"33" "aceabc_result.TextGrid" 2 "kõik" "kõik"
"34" "aceabc_result.TextGrid" 2 "kõik" "kõik"
"35" "aceabc_result.TextGrid" 2 "kõik" "kõik"
"36" "aceabc_result.TextGrid" 2 "toetus" "toetus"
"37" "aceabc_result.TextGrid" 2 "aitab" "aitab"
